"Year","Article","Part","Chapter","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G185","G187","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65"
2023,"Article  109",1,"I",3,2,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Article  109",2,"I",13,13,0,2,0,0,0,0,0,0,0,0,1,7,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,2,0,0,3,0,5,3,2,0,0,0,0,0,3,3,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0
2023,"Article  109",3,"I",3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Article  110",1,"I",33,33,0,8,1,0,0,0,0,0,0,0,2,7,16,8,3,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,16,1,0,0,13,0,9,7,4,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2023,"Article  110",2,"I",24,22,2,5,4,0,0,0,0,0,0,5,1,9,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,15,1,0,0,4,1,3,10,6,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2023,"Article  110",3,"I",141,0,141,20,122,0,0,0,0,0,0,1,3,43,64,30,0,31,0,0,15,0,0,0,0,0,0,0,0,86,2,0,7,0,0,0,121,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Article  110-2",1,"I",5,5,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Article  110-2",2,"I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Article  110-2",3,"I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Article  110-2",4,"I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Article  111",1,"I",81,80,1,4,0,0,0,0,0,0,0,12,12,42,14,1,4,1,2,0,4,15,0,0,0,0,0,0,0,23,1,0,31,1,0,0,13,0,13,17,38,0,0,0,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2023,"Article  111",2,"I",98,98,0,11,4,0,0,0,0,0,0,6,9,65,16,2,3,4,0,0,6,11,0,0,0,1,0,0,0,26,3,0,43,4,0,1,24,1,22,21,28,1,1,0,1,1,6,4,1,1,1,0,2,0,1,1,1,2,1,1,0,0,2,1,1,0,0
2023,"Article  111-1",1,"I",234,234,0,85,0,0,0,2,0,0,0,2,4,80,97,51,25,0,0,0,2,0,0,0,0,4,3,0,0,17,66,0,116,11,0,1,43,7,55,64,64,0,1,0,2,8,12,7,2,3,3,0,7,0,0,1,1,9,0,0,0,0,1,1,1,1,0
2023,"Article  111-1",2,"I",111,111,0,65,0,0,0,0,0,0,0,3,5,61,40,2,11,0,0,0,7,0,0,0,0,0,0,0,0,11,8,0,74,0,0,0,53,6,16,22,12,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Article  111-1",3,"I",9,9,0,9,0,0,0,0,0,0,0,0,0,3,6,0,1,0,0,0,1,0,0,3,0,0,0,0,0,3,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Article  111-1",4,"I",22,22,0,1,5,0,0,0,0,0,0,0,3,9,7,3,1,0,0,0,1,0,0,0,0,1,0,0,0,5,3,0,11,0,0,0,12,1,2,4,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Article  111-1",5,"I",65,65,0,26,7,0,0,0,0,0,0,0,3,29,29,4,4,6,0,0,5,0,1,1,0,0,0,0,0,8,2,0,38,0,0,0,28,9,4,9,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Article  111-1",6,"I",4,4,0,2,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Article  111-1",7,"I",61,61,0,1,2,0,0,0,0,0,1,2,2,46,10,0,3,4,0,0,6,1,0,0,0,0,0,0,0,7,3,1,36,0,0,0,19,6,11,13,10,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
