"Year","Article","Part","Chapter","CRTOT","CONVIC","ACQUIT","CMED","CCLOSE","SAMEVERD","CONFES","RECONC","CIRCUMS","SPONS","DENOPR","AMNESTY","DEATH","COTHER","x3LIFEIMP","x3IMP","x3IMP1","x3IMP12","x3IMP23","x3IMP35","x3IMP510","x3IMP1015","x3IMP1525","x3RESTOL","x3DISBAT","x3ARREST","x3CORRW","x3SRVRSTR","x3PUBLW","x3FINE","x3DEPR","x3PNOTHR","PROB","RELAMN","RELOTHR","ADDFINE","ADDRANK","ADDDEPR","ADDCONF","SETCR","SETSEN","ART69","COMTREAT","SPECCNF"
2023,"Article  109",1,"I",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023,"Article  109",2,"I",14,13,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,2,2,0,0,1
2023,"Article  109",3,"I",4,3,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,1
2023,"Article  110",1,"I",33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,26,0,0,0,0,0,3,11,0,0,0,5
2023,"Article  110",2,"I",24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,3,12,1,0,0,0,1,0,0,0,0,0,0,7,0,0,0,1,1,3,18,1,2,0,3
2023,"Article  110",3,"I",142,141,0,0,1,0,0,0,0,0,0,0,1,0,0,141,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0
2023,"Article  110-2",1,"I",5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0
2023,"Article  110-2",2,"I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Article  110-2",3,"I",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2023,"Article  110-2",4,"I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Article  111",1,"I",83,81,0,0,2,0,0,0,0,0,0,0,0,2,0,77,0,0,0,0,0,77,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,56,57,4,0,0,0
2023,"Article  111",2,"I",115,98,0,1,16,0,0,0,0,0,0,0,0,16,4,94,0,0,0,0,2,87,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,88,53,8,3,1,7
2023,"Article  111-1",1,"I",238,234,0,0,4,0,3,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,230,2,0,0,0,1,0,2,4,0,1,0,0,2
2023,"Article  111-1",2,"I",111,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,1,14,0,0,0,0,1
2023,"Article  111-1",3,"I",9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,5,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
2023,"Article  111-1",4,"I",23,22,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,9,0,0,10,0,0,0,0,19,10,3,0,0,0,1
2023,"Article  111-1",5,"I",66,65,0,0,1,0,0,0,0,0,0,0,1,0,0,64,0,0,1,16,41,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,59,44,5,0,1,0,0
2023,"Article  111-1",6,"I",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,1,0,0
2023,"Article  111-1",7,"I",61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,7,53,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,53,44,10,0,3,0,1
2023,"Article  111-1",8,"I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Article  111-2",1,"I",9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,5,0,0,0,0
2023,"Article  112",0,"I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Article  113",1,"I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Article  113",2,"I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Article  114",1,"I",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023,"Article  114-1",1,"I",10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,2,0,1
2023,"Article  114-1",2,"I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Article  114-2",1,"I",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1
