"Year","Article","Chapter","ACC","SUSP","STPIL","STPLOC","STPFOR","INDICM","REL","MED","EDU","RECID","GROUP","INTOX","JUVEN","CLOSE","CL1.2","NODEC","STPSDR","TOCRT","CL3.1","CL10","STPTOT"
2015,"Article 109","I",48,20,0,4,0,16,0,0,0,3,1,0,0,8,8,28,NA,16,NA,NA,NA
2015,"Article 110","I",217,74,0,8,0,62,0,0,0,4,3,0,0,6,6,147,NA,62,NA,NA,NA
2015,"Article  110-2","I",7,4,0,1,0,1,2,0,0,0,0,0,0,1,1,3,NA,3,NA,NA,NA
2015,"Article 111","I",80,23,0,46,0,7,4,1,0,0,1,0,0,10,9,21,NA,12,NA,NA,NA
2015,"Article 112","I",5,1,0,0,0,1,0,0,0,0,1,0,0,1,1,4,NA,1,NA,NA,NA
2015,"Article 113","I",41,13,0,0,0,10,0,0,0,0,1,0,1,1,1,31,NA,10,NA,NA,NA
2015,"Article 114","I",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,0,NA,NA,NA
2015,"Article 114-1","I",73,5,0,1,0,4,0,0,0,1,0,0,0,299,299,68,NA,4,NA,NA,NA
2015,"Others","I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA
2015,"Article 115","II",8224,1507,11,40,1,1046,0,56,0,317,68,624,30,99821,99776,7025,NA,1102,NA,NA,NA
2015,"Article 116","II",7,7,0,0,0,6,0,0,0,0,0,0,0,1,0,0,NA,6,NA,NA,NA
2015,"Article 117","II",11,7,0,0,0,5,0,0,0,0,0,0,0,18,18,6,NA,5,NA,NA,NA
2015,"Article 118","II",38,34,0,1,0,28,0,0,1,9,0,12,1,6,6,8,NA,29,NA,NA,NA
2015,"Article 119","II",169,137,0,3,0,117,1,2,2,19,1,48,4,23,20,41,NA,122,NA,NA,NA
2015,"Article 120","II",86,1,0,0,0,1,0,0,0,0,0,0,0,1346,1346,85,NA,1,NA,NA,NA
2015,"Article 121","II",2511,2029,2,72,1,1616,0,46,1,496,48,915,42,792,769,750,NA,1663,NA,NA,NA
2015,"Article 122","II",3462,1735,3,30,0,1509,0,8,1,288,36,408,59,2181,2047,1777,NA,1518,NA,NA,NA
2015,"Article 123","II",2,2,0,0,0,2,0,0,0,1,0,1,0,0,0,0,NA,2,NA,NA,NA
2015,"Article 124","II",129,96,0,0,0,83,6,1,0,20,1,34,1,21,20,38,NA,90,NA,NA,NA
2015,"Article 125","II",34730,13764,8,95,0,11734,117,63,82,2189,183,3144,337,73365,71454,20720,NA,11996,NA,NA,NA
2015,"Article 126","II",1461,918,0,2,0,540,13,4,3,86,9,157,13,2054,1645,490,NA,560,NA,NA,NA
2015,"Article 127","II",73,32,0,1,0,25,0,0,0,5,6,5,2,21,21,47,NA,25,NA,NA,NA
2015,"Article 128","II",747,413,0,7,0,373,11,4,7,55,2,95,20,879,873,339,NA,395,NA,NA,NA
2015,"Article 129","II",1274,263,0,11,0,201,2,8,1,55,1,96,3,3246,3213,1018,NA,212,NA,NA,NA
2015,"Article 130","II",14,4,0,0,0,3,0,0,0,3,0,1,0,8,8,11,NA,3,NA,NA,NA
2015,"Article 131","II",1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,NA,0,NA,NA,NA
2015,"Article 132","II",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,NA,0,NA,NA,NA
2015,"Article 133","II",2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,NA,0,NA,NA,NA
2015,"Article 134","II",4,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4,NA,0,NA,NA,NA
2015,"Article 135","II",148,103,0,2,0,90,0,0,0,10,3,35,0,47,46,55,NA,90,NA,NA,NA
2015,"Article 136","II",27,7,2,0,0,5,0,0,0,0,0,1,0,10,10,20,NA,5,NA,NA,NA
2015,"Article 137","II",75,6,0,0,0,4,2,0,0,0,0,0,0,62,62,69,NA,6,NA,NA,NA
2015,"Article 138","II",4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,NA,0,NA,NA,NA
2015,"Article 139","II",39,0,0,0,0,0,0,0,0,0,0,0,0,26,26,39,NA,0,NA,NA,NA
2015,"Article 140","II",549,4,0,0,0,3,0,0,0,0,0,0,0,209,209,546,NA,3,NA,NA,NA
2015,"Article 141","II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA
2015,"Article 142","II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA
2015,"Article 143","II",5,4,0,0,0,4,0,0,0,0,4,0,0,1,1,1,NA,4,NA,NA,NA
2015,"Article 144","II",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,0,NA,NA,NA
2015,"Article 145","II",2,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,NA,0,NA,NA,NA
2015,"Others","II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA
2015,"Article 146","III",873,210,0,31,0,139,0,0,0,46,70,30,3,327,327,703,NA,139,NA,NA,NA
2015,"Article 147","III",19,9,0,0,0,5,0,1,0,0,2,1,0,1,0,12,NA,6,NA,NA,NA
2015,"Article 148","III",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,0,NA,NA,NA
2015,"Article 149","III",110,79,0,7,2,59,0,0,0,7,33,1,0,18,18,42,NA,59,NA,NA,NA
2015,"Article 150","III",2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,NA,0,NA,NA,NA
2015,"Article 150-1","III",12,8,0,0,0,8,0,0,0,3,0,0,0,2,2,4,NA,8,NA,NA,NA
2015,"Article 151","III",16,0,0,0,0,0,0,0,0,0,0,0,0,6,6,16,NA,0,NA,NA,NA
2015,"Others","III",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA
2015,"Article 152","IV",323,203,0,8,0,155,0,0,0,64,10,88,12,411,398,147,NA,155,NA,NA,NA
2015,"Article 153","IV",192,141,0,2,0,118,0,2,0,54,5,60,11,58,54,66,NA,120,NA,NA,NA
2015,"Article 154","IV",3,0,0,0,0,0,0,0,0,0,0,0,0,10,10,3,NA,0,NA,NA,NA
2015,"Article 155","IV",37,13,0,0,0,12,0,0,0,4,0,2,1,44,44,25,NA,12,NA,NA,NA
2015,"Article 156","IV",233,97,0,1,0,83,0,4,1,26,0,20,4,152,146,138,NA,88,NA,NA,NA
2015,"Others","IV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA
2015,"Article 157","V",53,3,0,0,0,1,0,0,0,0,0,0,0,61,61,52,NA,1,NA,NA,NA
2015,"Article  158","V",43,2,0,0,0,2,0,0,0,0,1,0,0,32,32,41,NA,2,NA,NA,NA
2015,"Article 158-1","V",44,24,0,0,0,19,0,0,0,1,0,1,0,20,20,25,NA,19,NA,NA,NA
2015,"Article 158-2","V",2,2,0,0,0,2,0,0,0,0,0,0,0,6,6,0,NA,2,NA,NA,NA
2015,"Article 159","V",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,0,NA,NA,NA
2015,"Article  159-1","V",3,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,NA,0,NA,NA,NA
2015,"Article  160","V",47,17,0,0,0,12,0,0,0,0,0,0,0,119,119,35,NA,12,NA,NA,NA
2015,"Article  161","V",40,5,0,2,0,3,0,0,0,1,0,0,0,17,17,35,NA,3,NA,NA,NA
2015,"Article 162","V",1358,567,1,18,0,492,2,7,4,230,38,149,26,1532,1505,807,NA,505,NA,NA,NA
2015,"Article 163","V",13,3,0,0,0,2,0,0,0,0,0,0,0,12,12,11,NA,2,NA,NA,NA
2015,"Article 164","V",2770,1342,0,8,0,1291,1,1,0,333,1,2,0,4495,4439,1413,NA,1293,NA,NA,NA
2015,"Article 165","V",3,2,0,0,0,2,0,0,0,1,0,0,0,5,5,1,NA,2,NA,NA,NA
2015,"Article 166","V",172,47,0,1,0,43,1,0,0,7,0,0,0,414,414,127,NA,44,NA,NA,NA
2015,"Article 167","V",8,2,0,0,0,2,0,0,0,0,0,0,0,8,8,6,NA,2,NA,NA,NA
2015,"Article 168","V",7,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,NA,0,NA,NA,NA
2015,"Article 169","V",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,NA,0,NA,NA,NA
2015,"Article 170","V",14,1,0,0,0,1,0,0,0,0,0,0,0,14,14,13,NA,1,NA,NA,NA
2015,"Article 171","V",72,13,1,2,0,5,0,0,0,0,1,0,0,48,48,64,NA,5,NA,NA,NA
2015,"Article 172","V",702,47,2,1,0,38,4,0,0,0,0,0,0,654,654,657,NA,42,NA,NA,NA
2015,"Article 173","V",24,2,0,0,0,2,0,0,0,0,0,0,0,26,26,22,NA,2,NA,NA,NA
2015,"Article 174","V",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA
2015,"Article 175","V",908,161,0,1,0,46,113,0,0,1,0,0,0,763,763,748,NA,159,NA,NA,NA
2015,"Article 176","V",250,84,1,0,0,77,3,0,0,6,1,0,1,233,229,165,NA,80,NA,NA,NA
2015,"Article 177","V",20,0,0,0,0,0,0,0,0,0,0,0,0,11,11,20,NA,0,NA,NA,NA
2015,"Article 178","V",3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,NA,0,NA,NA,NA
2015,"Article 179","V",2,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2,NA,0,NA,NA,NA
2015,"Article 180","V",7,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,NA,0,NA,NA,NA
2015,"Article 181","V",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,NA,0,NA,NA,NA
2015,"Article 182","V",120,7,0,0,0,5,0,0,0,0,0,0,0,96,95,114,NA,5,NA,NA,NA
2015,"Article 183","V",4,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,NA,0,NA,NA,NA
2015,"Article 184","V",15,0,0,0,0,0,0,0,0,0,0,0,0,7,7,15,NA,0,NA,NA,NA
2015,"Others","V",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA
