"Year","Article","Chapter","ACC","SUSP","STPIL","STPLOC","STPSDR","STPFOR","INDICM","REL","MED","EDU","RECID","GROUP","INTOX","JUVEN","CLOSE","CL1.2","NODEC","TOCRT","CL3.1","CL10","STPTOT"
2017,"Article 109","I",52,27,0,0,0,0,22,0,2,0,4,0,0,0,3,3,28,24,NA,NA,NA
2017,"Article 110","I",136,81,0,7,0,1,63,0,0,0,1,5,0,2,6,6,65,63,NA,NA,NA
2017,"Article 110-2","I",29,10,0,1,0,0,6,0,0,0,0,0,0,0,2,2,22,6,NA,NA,NA
2017,"Article 111","I",89,35,0,10,0,0,13,9,0,0,0,0,0,0,8,8,57,22,NA,NA,NA
2017,"Article 112","I",1,1,0,0,0,0,1,0,0,0,0,0,0,0,4,4,0,1,NA,NA,NA
2017,"Article 113","I",8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,8,0,NA,NA,NA
2017,"Article 114","I",6,3,0,0,0,0,2,0,0,0,0,0,0,0,1,1,4,2,NA,NA,NA
2017,"Article 114-1","I",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,NA,NA,NA
2017,"Others","I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
2017,"Article 115","II",5145,1381,1,40,0,3,908,0,68,1,277,55,501,17,108208,108176,4092,977,NA,NA,NA
2017,"Article 116","II",5,5,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,5,NA,NA,NA
2017,"Article 117","II",11,10,0,0,0,0,9,0,1,0,0,0,0,1,13,13,1,10,NA,NA,NA
2017,"Article 118","II",19,18,0,0,0,0,18,0,0,0,4,0,5,0,8,8,1,18,NA,NA,NA
2017,"Article 119","II",134,98,1,2,0,0,80,1,0,1,4,0,32,2,11,10,48,82,NA,NA,NA
2017,"Article 120","II",109,3,0,0,0,0,3,0,0,0,0,0,0,0,672,672,106,3,NA,NA,NA
2017,"Article 121","II",2096,1843,6,56,0,1,1475,0,21,0,415,42,699,47,577,558,518,1496,NA,NA,NA
2017,"Article 122","II",3077,1730,0,16,0,0,1598,1,10,1,301,38,318,78,1885,1848,1414,1610,NA,NA,NA
2017,"Article 123","II",3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,NA,NA,NA
2017,"Article 124","II",129,97,0,0,0,0,91,1,1,0,14,0,24,1,23,23,36,93,NA,NA,NA
2017,"Article 125","II",23789,13452,5,61,0,0,12571,41,54,62,2210,169,2689,310,68930,68503,10568,12728,NA,NA,NA
2017,"Article 126","II",815,667,0,3,0,0,565,20,4,1,86,7,86,13,868,811,165,590,NA,NA,NA
2017,"Article 127","II",82,37,0,2,0,0,26,0,0,1,4,12,3,3,26,26,53,27,NA,NA,NA
2017,"Article 128","II",805,392,0,2,0,0,363,3,3,3,53,4,90,18,1133,1132,430,372,NA,NA,NA
2017,"Article 129","II",926,317,0,6,0,0,278,0,4,0,67,1,110,0,2031,2020,627,282,NA,NA,NA
2017,"Article 130","II",4,1,0,0,0,0,1,0,0,0,1,0,0,0,5,5,3,1,NA,NA,NA
2017,"Article 131","II",4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,NA,NA,NA
2017,"Article 132","II",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA
2017,"Article 133","II",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,NA,NA,NA
2017,"Article 134","II",3,1,0,0,0,0,1,0,0,0,0,0,0,0,3,3,2,1,NA,NA,NA
2017,"Article 135","II",237,151,0,2,0,0,137,0,1,0,15,1,60,0,58,58,97,138,NA,NA,NA
2017,"Article 136","II",33,9,0,0,0,0,8,0,0,0,0,0,4,0,17,17,25,8,NA,NA,NA
2017,"Article 137","II",67,7,0,0,0,0,4,2,0,0,0,0,0,0,72,72,61,6,NA,NA,NA
2017,"Article 138","II",8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,8,0,NA,NA,NA
2017,"Article 139","II",39,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,39,0,NA,NA,NA
2017,"Article 140","II",725,2,0,0,0,0,2,0,0,0,0,0,0,0,234,234,723,2,NA,NA,NA
2017,"Article 141","II",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,NA,NA,NA
2017,"Article 142","II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,NA,NA,NA
2017,"Article 143","II",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,NA,NA,NA
2017,"Article 144","II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
2017,"Article 145","II",4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4,0,NA,NA,NA
2017,"Others","II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
2017,"Article 146","III",556,211,1,8,0,1,140,0,4,0,38,78,16,3,156,156,402,144,NA,NA,NA
2017,"Article 147","III",7,3,0,0,0,0,2,0,0,0,1,1,0,0,0,0,5,2,NA,NA,NA
2017,"Article 148","III",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
2017,"Article 149","III",342,132,0,7,0,4,98,1,0,0,10,61,0,0,11,11,232,99,NA,NA,NA
2017,"Article 150","III",1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,NA,NA,NA
2017,"Article 150-1","III",5,4,0,0,0,0,4,0,0,0,1,0,0,0,6,6,1,4,NA,NA,NA
2017,"Article 151","III",7,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7,0,NA,NA,NA
2017,"Others","III",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
2017,"Article 152","IV",259,232,0,3,0,0,162,0,12,0,69,6,56,14,319,285,48,174,NA,NA,NA
2017,"Article 153","IV",249,198,0,5,0,0,152,0,2,2,63,7,34,12,94,66,60,156,NA,NA,NA
2017,"Article 154","IV",6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,NA,NA,NA
2017,"Article 155","IV",50,16,0,0,0,0,16,0,0,0,1,1,1,2,51,51,34,16,NA,NA,NA
2017,"Article 156","IV",285,164,0,5,0,0,142,0,8,1,28,2,21,6,109,108,128,151,NA,NA,NA
2017,"Others","IV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
2017,"Article 157","V",12,1,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,0,NA,NA,NA
2017,"Article 158","V",4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,NA,NA,NA
2017,"Article 158-1","V",5,4,0,0,0,0,4,0,0,0,0,0,0,0,3,3,1,4,NA,NA,NA
2017,"Article 158-2","V",1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,NA,NA,NA
2017,"Article 159","V",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,NA,NA,NA
2017,"Article 159-1","V",7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,0,NA,NA,NA
2017,"Article 160","V",15,1,0,0,0,0,1,0,0,0,0,0,0,0,14,14,14,1,NA,NA,NA
2017,"Article 161","V",52,3,0,1,0,0,2,0,0,0,0,0,0,0,24,24,49,2,NA,NA,NA
2017,"Article 162","V",1732,993,2,19,0,0,904,0,13,1,385,70,198,19,2038,2017,772,918,NA,NA,NA
2017,"Article 163","V",41,3,0,0,0,0,2,0,0,0,0,0,0,0,12,12,39,2,NA,NA,NA
2017,"Article 164","V",2089,857,0,5,0,0,843,2,0,0,175,0,0,0,4204,4199,1234,845,NA,NA,NA
2017,"Article 165","V",5,2,0,0,0,0,2,0,0,0,0,0,0,0,7,7,3,2,NA,NA,NA
2017,"Article 166","V",155,19,0,0,0,0,18,0,0,0,0,0,2,0,355,355,137,18,NA,NA,NA
2017,"Article 167","V",3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,NA,NA,NA
2017,"Article 168","V",3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,0,NA,NA,NA
2017,"Article 169","V",3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,NA,NA,NA
2017,"Article 170","V",24,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,24,0,NA,NA,NA
