"Year","Article","Chapter","ACC","SUSP","STPIL","STPLOC","STPSDR","STPFOR","TOCRT","INDICM","REL","MED","EDU","CL3.1","RECID","GROUP","INTOX","JUVEN","CLOSE","CL1.2","CL10","NODEC","STPTOT"
2022,"Article  109","I",118,55,0,9,0,0,44,43,0,1,0,0,0,1,0,0,17,17,0,65,NA
2022,"Article  110","I",10487,179,0,69,0,1,95,95,0,0,0,0,3,8,0,0,100,100,0,10321,NA
2022,"Article  110-2","I",246,7,0,2,0,1,4,4,0,0,0,0,0,0,0,0,17,17,0,239,NA
2022,"Article  111","I",1957,609,0,227,0,0,309,269,38,2,0,0,7,10,0,3,89,89,0,1409,NA
2022,"Article  111-1","I",3851,1090,0,354,0,0,620,620,0,0,0,0,25,8,5,0,203,202,0,2869,NA
2022,"Article  111-2","I",379,77,0,22,0,0,25,25,0,0,0,0,1,0,0,0,5,5,0,329,NA
2022,"Article  112","I",2,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,NA
2022,"Article  113","I",64,5,0,1,0,0,3,3,0,0,0,0,0,0,0,0,10,10,0,60,NA
2022,"Article  114","I",40,6,0,2,0,0,2,2,0,0,0,0,0,0,0,0,4,4,0,36,NA
2022,"Article  114-1","I",76,8,0,0,0,0,5,5,0,0,0,0,0,1,0,0,20,20,0,71,NA
2022,"Article  114-2","I",202,121,0,3,0,0,88,87,0,1,0,0,1,3,0,0,12,12,0,111,NA
2022,"Others","I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2022,"Article  115","II",22083,1115,3,16,0,0,761,716,0,45,0,0,164,31,352,7,88879,88836,0,21249,NA
2022,"Article  116","II",1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
2022,"Article  117","II",8,6,0,0,0,0,6,5,0,1,0,0,0,0,0,0,11,11,0,2,NA
2022,"Article  118","II",25,20,0,0,0,0,19,19,0,0,0,0,2,0,7,0,14,14,0,6,NA
2022,"Article  119","II",87,65,0,1,0,0,61,58,0,2,1,0,6,0,16,1,13,13,0,25,NA
2022,"Article  120","II",63,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,176,176,0,62,NA
2022,"Article  121","II",1502,1406,0,30,0,0,1147,1109,0,36,2,0,235,20,440,26,76,64,0,300,NA
2022,"Article  122","II",2019,1050,0,9,0,0,950,933,3,13,1,0,156,16,133,41,1457,1454,0,1049,NA
2022,"Article  123","II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2022,"Article  124","II",78,44,0,3,0,0,34,33,0,1,0,0,1,0,7,0,32,32,0,41,NA
2022,"Article  125*","II",13238,10045,3,25,0,0,9926,9830,12,59,25,0,1350,61,1231,163,20968,20938,0,3250,NA
2022,"Article  126","II",1011,928,0,3,0,0,917,906,2,8,1,0,135,1,66,10,437,437,0,91,NA
2022,"Article  126-1","II",1498,1341,0,9,0,0,1249,1222,0,27,0,0,324,1,351,0,582,582,0,235,NA
2022,"Article  127","II",68,20,0,1,0,0,16,16,0,0,0,0,1,6,3,5,21,21,0,50,NA
2022,"Article  128","II",545,227,0,2,0,0,218,206,3,0,9,0,25,1,36,14,889,889,0,323,NA
2022,"Article  129","II",427,185,0,5,0,0,177,175,1,1,0,0,25,0,47,0,1043,1042,0,244,NA
2022,"Article  130","II",5,4,0,0,0,0,4,4,0,0,0,0,4,0,0,0,4,4,0,1,NA
2022,"Article  131","II",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
2022,"Article  132*","II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,NA
2022,"Article  133","II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2022,"Article  134","II",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,NA
2022,"Article  135","II",144,95,0,0,0,0,81,81,0,0,0,0,11,1,36,0,25,24,0,62,NA
2022,"Article  136","II",16,2,0,0,0,0,2,2,0,0,0,0,1,0,1,0,7,7,0,14,NA
2022,"Article  137","II",21,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,18,18,0,19,NA
2022,"Article  138","II",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,NA
2022,"Article  139","II",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,18,NA
2022,"Article  140","II",327,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,183,183,0,325,NA
2022,"Article  141","II",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,NA
2022,"Article  142","II",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
2022,"Article  143","II",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,NA
2022,"Article  144","II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2022,"Article  145","II",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,NA
2022,"Others","II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2022,"Article  146","III",268,107,0,5,0,0,73,73,0,0,0,0,13,38,9,3,102,101,0,187,NA
2022,"Article  146-1","III",1120,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,26,26,0,1119,NA
2022,"Article  147","III",2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,NA
2022,"Article  148","III",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,NA
