"Year","Article","Chapter","ACC","SUSP","STPTOT","STPIL","STPLOC","STPFOR","TOCRT","INDICM","REL","MED","EDU","CL3.1","RECID","GROUP","INTOX","JUVEN","CLOSE","CL1.2","CL10","NODEC","STPSDR"
2024,"Article  109","I",72,36,2,0,2,0,31,30,0,1,0,0,0,1,0,0,6,6,0,39,NA
2024,"Article  110","I",505,89,18,0,18,0,65,64,0,1,0,0,0,1,0,0,2,2,0,422,NA
2024,"Article  110-2","I",75,13,1,0,1,0,9,9,0,0,0,0,0,0,0,0,2,2,0,65,NA
2024,"Article  111","I",1109,588,52,0,52,0,441,433,6,1,1,0,20,13,0,1,21,19,0,614,NA
2024,"Article  111-1","I",2420,1148,246,0,246,0,854,853,0,1,0,0,24,20,0,0,16,15,0,1319,NA
2024,"Article  111-2","I",486,85,14,0,13,1,35,35,0,0,0,0,0,4,0,0,9,9,0,437,NA
2024,"Article  112","I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2024,"Article  113","I",251,98,1,0,1,0,38,38,0,0,0,0,5,17,0,9,6,6,0,212,NA
2024,"Article  114","I",29,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,27,NA
2024,"Article  114-1","I",840,301,3,0,3,0,170,166,0,0,4,0,21,40,1,19,40,35,0,662,NA
2024,"Article  114-2","I",211,116,2,0,2,0,87,87,0,0,0,0,7,5,0,1,10,10,0,122,NA
2024,"Others","I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2024,"Article  115","II",52197,1019,8,1,6,0,723,677,0,46,0,0,174,16,346,13,86543,86504,0,51427,NA
2024,"Article  116","II",1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
2024,"Article  117","II",4,3,0,0,0,0,3,3,0,0,0,0,0,0,0,1,8,7,0,0,NA
2024,"Article  118","II",19,15,0,0,0,0,13,13,0,0,0,0,0,0,4,0,5,4,0,5,NA
2024,"Article  119","II",81,61,1,0,1,0,53,52,0,0,1,0,0,0,15,2,1,0,0,26,NA
2024,"Article  120","II",44,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,92,92,0,42,NA
2024,"Article  121","II",1437,1410,16,0,14,0,1153,1115,0,36,2,0,254,18,422,40,28,15,0,255,NA
2024,"Article  122","II",2149,1317,13,0,12,0,1210,1182,0,26,2,0,201,22,164,60,1272,1271,0,925,NA
2024,"Article  123","II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2024,"Article  124","II",53,25,0,0,0,0,24,24,0,0,0,0,1,0,9,0,26,26,0,29,NA
2024,"Article  125*","II",17092,14300,14,0,13,0,14211,14045,16,85,65,0,2189,94,1812,233,15794,15777,0,2850,NA
2024,"Article  126","II",2147,1870,1,0,1,0,1873,1857,1,5,10,0,213,1,116,13,1079,1077,0,271,NA
2024,"Article  126-1","II",2810,2505,13,0,9,0,2386,2355,0,30,1,0,671,1,548,3,706,705,0,410,NA
2024,"Article  127","II",124,78,14,0,14,0,61,58,0,0,3,0,9,9,4,4,24,24,0,49,NA
2024,"Article  128","II",601,299,3,0,3,0,286,278,1,4,3,0,34,0,35,15,843,843,0,312,NA
2024,"Article  129","II",553,281,1,0,0,0,269,265,0,4,0,0,52,1,65,3,683,683,0,283,NA
2024,"Article  130","II",7,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,5,NA
2024,"Article  131","II",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
2024,"Article  132*","II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2024,"Article  133","II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2024,"Article  134","II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2024,"Article  135","II",200,142,4,0,4,0,106,105,0,1,0,0,7,2,44,2,28,26,0,88,NA
2024,"Article  136","II",22,8,0,0,0,0,6,6,0,0,0,0,1,1,2,0,2,2,0,16,NA
2024,"Article  137","II",34,3,0,0,0,0,3,2,1,0,0,0,0,0,0,0,21,21,0,31,NA
2024,"Article  138","II",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,NA
2024,"Article  139","II",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,15,NA
2024,"Article  140","II",424,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,112,111,0,422,NA
2024,"Article  141","II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,NA
