"","REG","RED","Chapter","Article","Part","ShortN","LIMP","IMPMAX","IMPMIN","DISBATMAX","DISBATMIN","RESTOLMAX","RESTOLMIN","ARMAX","ARMIN","LIMMAX","LIMMIN","CORWMAX","CORWMIN","CIVMAX","CIVMIN","DEPRMAX","DEPRMIN","FINEMAX","FINEMIN","CONF","DEPRDOP","DEPRDOPMAX","DEPRDOPMIN","FINEDOP","FINEDOPMAX","FINEDOPMIN","GRADEMAN","GRADEAUTO"
"1","1",2013,"I","109",1,"Стаття 109. Дії, спрямовані на насильницьку зміну чи повалення конституційного ладу або на захоплення державної влади",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2",2013,"I","109",2,"Стаття 109. Дії, спрямовані на насильницьку зміну чи повалення конституційного ладу або на захоплення державної влади",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","3",2013,"I","109",3,"Стаття 109. Дії, спрямовані на насильницьку зміну чи повалення конституційного ладу або на захоплення державної влади",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","4",2013,"I","110",1,"Стаття 110. Посягання на територіальну цілісність і недоторканність України",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","5",2013,"I","110",2,"Стаття 110. Посягання на територіальну цілісність і недоторканність України",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","6",2013,"I","110",3,"Стаття 110. Посягання на територіальну цілісність і недоторканність України",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","7",2013,"I","111",1,"Стаття 111. Державна зрада",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","8",2013,"I","112",0,"Стаття 112. Посягання на життя державного чи громадського діяча",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","9",2013,"I","113",0,"Стаття 113. Диверсія",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","10",2013,"I","114",1,"Стаття 114. Шпигунство",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","11",2013,"II","115",1,"Стаття 115. Умисне вбивство",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","12",2013,"II","115",2,"Стаття 115. Умисне вбивство",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","13",2013,"II","116",0,"Стаття 116. Умисне вбивство, вчинене в стані сильного душевного хвилювання",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","14",2013,"II","117",0,"Стаття 117. Умисне вбивство матір'ю своєї новонародженої дитини",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","15",2013,"II","118",0,"Стаття 118. Умисне вбивство при перевищенні меж необхідної оборони або у разі перевищення заходів, необхідних для затримання особи, яка вчинила кримінальне правопорушення",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","16",2013,"II","119",1,"Стаття 119. Вбивство через необережність",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","17",2013,"II","119",2,"Стаття 119. Вбивство через необережність",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","18",2013,"II","120",1,"Стаття 120. Доведення до самогубства",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","19",2013,"II","120",2,"Стаття 120. Доведення до самогубства",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","20",2013,"II","120",3,"Стаття 120. Доведення до самогубства",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","21",2013,"II","121",1,"Стаття 121. Умисне тяжке тілесне ушкодження",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","22",2013,"II","121",2,"Стаття 121. Умисне тяжке тілесне ушкодження",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","23",2013,"II","122",1,"Стаття 122. Умисне середньої тяжкості тілесне ушкодження",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","24",2013,"II","122",2,"Стаття 122. Умисне середньої тяжкості тілесне ушкодження",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
