chn;chap
1;I.Злочини проти основ національної безпеки України
2;II. Кримінальні правопорушення проти життя та здоров'я особи
3;III. Кримінальні правопорушення проти волі, честі та гідності особи
4;IV. Кримінальні правопорушення проти статевої свободи та статевої недоторканності особи,
5;V. Кримінальні правопорушення проти виборчих, трудових та інших особистих прав і свобод людини і громадянина
6;VI. Кримінальні правопорушення проти власності
7;VII. Кримінальні правопорушення у сфері господарської діяльності
8;VIII. Кримінальні правопорушення проти довкілля
9;IX. Кримінальні правопорушення проти громадської безпеки
10;X. Кримінальні правопорушення проти безпеки виробництва
11;XI. Кримінальні правопорушення проти безпеки руху та експлуатації транспорту
12;XII. Кримінальні правопорушення проти громадського порядку та моральності
13;XIII. Кримінальні правопорушення у сфері обігу наркотичних засобів, психотропних речовин, їх аналогів або прекурсорів та інші кримінальні правопорушення проти здоров'я населення
14;XIV. Кримінальні правопорушення у сфері охорони державної таємниці, недоторканності державних кордонів, забезпечення призову та мобілізації
15;XV. Кримінальні правопорушення проти авторитету органів державної влади, органів місцевого самоврядування, об’єднань громадян та кримінальні правопорушення проти журналістів
16;XVI. Кримінальні правопорушення у сфері використання електронно-обчислювальних машин (комп'ютерів), систем та комп'ютерних мереж і мереж електрозв'язку
17;XVII. Кримінальні правопорушення у сфері службової діяльності та професійної діяльності, пов'язаної з наданням публічних послуг
18;XVIII. Кримінальні правопорушення проти правосуддя
19;XIX. Кримінальні правопорушення проти встановленого порядку несення військової служби (військові кримінальні правопорушення)
20;XX. Кримінальні правопорушення проти миру, безпеки людства та міжнародного правопорядку 
60;Злочини, передбачені КК 1960 року
