"","Year","Article","Part","Chapter","CRTOT","CONVIC","ACQUIT","CMED","CCLOSE","CONFES","RECONC","CIRCUMS","SPONS","AMNESTY","DEATH","COTHER","PROB","RELAMN","RELOTHR","SAMEVERD","CNOTCR","DENOPR","CEDU","LIFEIMP","IMP","IMP1","IMP12","IMP23","IMP35","IMP510","IMP1015","IMP1525","RESTOL","DISBAT","ARREST","CORRW","SRVRSTR","PUBLW","FINE","DEPR"
"1",2013,"Article  109",1,"I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2013,"Article  109",2,"I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2013,"Article  109",3,"I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",2013,"Article  110",1,"I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",2013,"Article  110",2,"I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2013,"Article  110",3,"I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",2013,"Article  111",1,"I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",2013,"Article  112",0,"I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",2013,"Article  113",0,"I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2013,"Article  114",1,"I",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",2013,"Article  115",1,"II",968,876,3,69,20,0,0,0,0,0,15,2,8,0,0,NA,3,NA,0,1,867,0,2,4,45,670,146,0,0,0,0,0,0,0,0,0
"12",2013,"Article  115",2,"II",423,389,2,21,11,0,0,0,0,0,9,1,0,0,0,NA,1,NA,0,50,339,0,0,1,2,77,258,1,0,0,0,0,0,0,0,0
"13",2013,"Article  116",0,"II",24,20,1,0,3,0,0,0,0,2,0,1,8,0,1,NA,0,NA,0,0,10,0,2,7,1,0,0,0,1,0,0,0,0,0,0,0
"14",2013,"Article  117",0,"II",11,10,0,1,0,0,0,0,0,0,0,0,6,0,0,NA,0,NA,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0
"15",2013,"Article  118",0,"II",67,58,0,0,9,0,1,0,2,2,0,3,26,1,0,NA,0,NA,1,0,25,3,21,1,0,0,0,0,5,0,0,1,0,0,0,0
"16",2013,"Article  119",1,"II",256,223,2,1,30,0,8,1,3,11,2,3,108,5,4,NA,1,NA,1,0,86,1,5,35,45,0,0,0,19,0,1,0,0,0,0,0
"17",2013,"Article  119",2,"II",2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",2013,"Article  120",1,"II",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",2013,"Article  120",2,"II",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"20",2013,"Article  120",3,"II",2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"21",2013,"Article  121",1,"II",1823,1764,1,31,27,0,3,0,0,1,13,9,925,0,3,NA,0,NA,1,0,809,6,24,66,492,221,0,0,18,0,2,2,0,1,4,0
"22",2013,"Article  121",2,"II",841,810,1,17,13,0,0,0,0,1,6,5,52,0,2,NA,1,NA,0,0,754,1,3,12,79,652,7,0,2,0,0,0,0,0,0,0
