"Year","Chapter","IsChp","Article","Art","FS1","FS2","FS3","FS4","FS5","FS6","FS7","FS8","FS9","FS10","FS11","FS12","FS13","FS14","FS15","FS16","FS17","FS18","FS19","FS20","FS21","FS22","FS23","FS24","FS25"
2022,"I",TRUE,"Злочини проти основ національної безпеки України (р. І Кримінального кодексу України )",NA,181,391,7,0,273,44,0,0,0,32,83,108,20,30,81,200,22,50,1,0,266,7,0,0,0
2022,"I",FALSE,"Дії, спрямовані на насильницьку зміну чи повалення конституційного ладу або на захоплення державної влади, ст. 109","109",13,11,1,0,27,0,0,0,0,1,5,14,1,6,4,20,3,3,1,0,27,0,0,0,0
2022,"I",FALSE,"Посягання на територіальну цілісність і недоторканість України, ст. 110","110",89,50,6,0,93,18,0,0,0,17,24,41,5,6,23,41,15,37,0,0,88,5,0,0,0
2022,"I",FALSE,"Фінансування дій, вчинених з метою насильницької зміни чи повалення конституційного ладу або захоплення державної влади, зміни меж території або державного кордону України, ст. 110-2","110-2",7,3,0,0,4,1,0,0,0,0,1,2,0,1,2,4,0,0,0,0,4,0,0,0,0
2022,"I",FALSE,"Державна зрада, ст. 111","111",76,342,0,0,156,24,0,0,0,14,53,56,14,19,54,140,6,10,0,0,154,2,0,0,0
2022,"I",FALSE,"Колабораційна діяльність, ст.111-1","111-1",3,2,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0
2022,"I",FALSE,"Пособництво державі-агресору, ст.111-2","111-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"I",FALSE,"Посягання на життя державного чи громадського діяча, ст. 112","112",0,2,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,2,0,0,0,0
2022,"I",FALSE,"Диверсія, ст. 113","113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"I",FALSE,"Шпигунство, ст. 114","114",0,1,0,0,2,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,2,0,0,0
2022,"I",FALSE,"Перешкоджання законній діяльності Збройних Сил України та інших військових формувань, ст. 114-1","114-1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"I",FALSE,"Несанкціоноване поширення інформації про направлення, переміщення зброї, озброєння та бойових припасів в Україну, рух, переміщення або розміщення Збройних Сил України чи інших утворених відповідно до законів України військових формувань, вчинене в умовах воєнного або надзвичайного стану, ст.114-2","114-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"II",TRUE,"Кримінальні правопорушення проти життя та здоров'я особи (р. ІІ Кримінального кодексу України )",NA,1130,51,7,0,2088,429,3,15,75,517,713,595,72,98,189,361,373,1325,24,5,2044,38,6,2,0
2022,"II",FALSE,"Умисне вбивство, ст. 115","115",33,49,3,0,364,261,0,0,6,75,132,108,19,24,38,39,75,246,4,0,344,18,2,2,0
2022,"II",FALSE,"Умисне вбивство при перевищенні меж необхідної оборони або у разі перевищення заходів, необхідних для затримання злочинця, ст. 118","118",0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0
2022,"II",FALSE,"Умисне тяжке тілесне ушкодження, ст. 121","121",45,13,2,0,310,131,0,1,10,89,97,85,10,18,26,40,56,205,6,3,297,10,3,0,0
2022,"II",FALSE,"Умисне середньої тяжкості тілесне ушкодження, ст. 122","122",203,6,0,0,286,4,0,4,11,99,99,63,6,4,4,41,55,189,0,1,283,3,0,0,0
2022,"II",FALSE,"Домашнє насильство, ст. 126-1","126-1",49,0,0,0,81,2,0,0,0,5,31,35,7,3,3,8,14,59,0,0,81,0,0,0,0
2022,"III",TRUE,"Кримінальні правопорушення проти волі, честі та гідності особи (р. IІІ Кримінального кодексу України )",NA,62,31,1,0,196,50,0,0,3,60,96,28,3,6,16,67,23,105,1,0,175,21,0,0,0
2022,"III",FALSE,"Незаконне позбавлення волі або викрадення людини, ст. 146","146",45,31,1,0,156,44,0,0,3,50,79,21,1,2,7,47,22,86,1,0,140,16,0,0,0
2022,"III",FALSE,"Насильницьке зникнення, ст. 146-1","146-1",0,0,0,0,3,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,3,0,0,0,0
2022,"III",FALSE,"Захоплення заручників, ст. 147","147",0,0,0,0,3,2,0,0,0,2,0,1,0,0,1,1,1,1,0,0,3,0,0,0,0
2022,"III",FALSE,"Торгівля людьми, ст. 149","149",19,0,0,0,43,6,0,0,0,9,21,7,2,4,10,18,0,25,0,0,38,5,0,0,0
2022,"IV",TRUE,"Кримінальні правопорушення проти статевої свободи та статевої недоторканості особи (р. IV Кримінального кодексу України )",NA,25,0,0,0,110,55,1,4,6,28,37,25,4,5,5,17,13,77,3,0,105,5,0,0,0
2022,"IV",FALSE,"Згвалтування, ст. 152","152",10,0,0,0,65,41,0,3,6,21,22,10,1,2,2,6,7,51,1,0,61,4,0,0,0
2022,"IV",FALSE,"Сексуальне насильство, ст. 153","153",1,0,0,0,13,2,1,0,0,1,9,2,0,0,2,5,0,7,1,0,13,0,0,0,0
2022,"IV",FALSE,"Розбещення неповнолітніх, ст. 156","156",11,0,0,0,38,18,0,1,0,7,9,14,3,4,4,9,4,25,0,0,37,1,0,0,0
2022,"V",TRUE,"Кримінальні правопорушення проти виборчих, трудових та інших особистих прав і свобод людини  і громадянина (р. V Кримінального кодексу України )",NA,174,2,0,0,231,5,0,0,2,46,100,70,7,6,31,44,53,132,2,0,230,1,0,0,0
