"Year","Chapter","IsChp","Article","Art","FS1","FS2","FS3","FS4","FS5","FS6","FS7","FS8","FS9","FS10","FS11","FS12","FS13","FS14","FS15","FS16","FS17","FS18","FS19","FS20","FS21","FS22","FS23","FS24","FS25"
2019,"I",TRUE,"Злочини проти основ національної безпеки України (р. І КК України)",NA,139,1,0,NA,117,3,0,0,0,8,33,48,12,16,55,36,38,43,0,115,2,2,0,0,0
2019,"I",FALSE,"Дії, спрямовані на насильницьку зміну чи повалення конституційного ладу або на захоплення державної влади, ст.109","109",9,0,0,NA,6,0,0,0,0,1,1,3,1,0,1,1,3,2,0,6,0,0,0,0,0
2019,"I",FALSE,"Посягання на територіальну цілісність і недоторканість України, ст.110","110",79,1,0,NA,70,2,0,0,0,4,12,29,10,15,50,18,30,22,0,70,0,0,0,0,0
2019,"I",FALSE,"Фінансування дій, вчинених з метою насильницької зміни чи повалення конституційного ладу або захоплення державної влади, зміни меж території або державного кордону України, ст.110-2","110-2",14,0,0,NA,11,0,0,0,0,0,4,7,0,0,3,2,3,6,0,11,0,0,0,0,0
2019,"I",FALSE,"Державна зрада, ст.111","111",35,0,0,NA,28,0,0,0,0,3,16,7,1,1,1,13,2,13,0,28,0,0,0,0,0
2019,"I",FALSE,"Посягання на життя державного чи громадського діяча, ст.112","112",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,"I",FALSE,"Диверсія, ст.113","113",2,0,0,NA,2,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0
2019,"I",FALSE,"Шпигунство, ст.114","114",2,0,0,NA,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
2019,"I",FALSE,"Перешкоджання законній діяльності Збройних Сил України та інших військових формувань, ст.114-1","114-1",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,"II",TRUE,"Злочини проти життя та здоров'я особи (р. ІІ КК України)",NA,20004,0,12,NA,18776,1484,18,67,352,4818,6436,5186,902,997,1997,1671,4970,11844,291,18592,159,108,25,4,4
2019,"II",FALSE,"Умисне вбивство, ст.115","115",1360,0,9,NA,949,695,2,4,15,189,299,286,61,93,103,86,242,593,28,929,18,17,2,0,0
2019,"II",FALSE,"Умисне вбивство при перевищенні меж необхідної оборони або у разі перевищення заходів, необхідних для затримання злочинця, ст.118","118",19,0,0,NA,17,4,0,0,0,4,6,3,1,3,8,2,5,10,0,17,0,0,0,0,0
2019,"II",FALSE,"Умисне тяжке тілесне ушкодження, ст.121","121",1851,0,3,NA,1537,648,4,3,30,380,559,398,82,81,196,97,409,978,53,1508,24,14,5,1,2
2019,"II",FALSE,"Умисне середньої тяжкості тілесне ушкодження, ст.122","122",1668,0,0,NA,1569,41,3,20,77,529,504,327,55,54,58,159,378,1000,32,1558,9,4,2,0,0
2019,"III",TRUE,"Злочини проти волі, честі та гідності особи (р. IІІ КК України)",NA,373,0,0,NA,224,68,0,0,5,78,89,42,4,6,32,36,39,142,7,208,16,9,0,0,0
2019,"III",FALSE,"Незаконне позбавлення волі або викрадення людини, ст.146","146",292,0,0,NA,185,59,0,0,5,67,74,32,3,4,16,30,34,116,5,174,11,9,0,0,0
2019,"III",FALSE,"Захоплення заручників, ст.147","147",9,0,0,NA,3,2,0,0,0,1,1,0,1,0,0,1,0,2,0,3,0,0,0,0,0
2019,"III",FALSE,"Торгівля людьми або інша незаконна угода щодо людини, ст.149","149",71,0,0,NA,29,7,0,0,0,7,11,9,0,2,12,5,5,19,0,24,5,0,0,0,0
2019,"IV",TRUE,"Злочини проти статевої свободи та статевої недоторканості особи  (р. IV КК України)",NA,403,0,0,NA,307,160,1,5,4,102,94,71,15,15,1,20,71,193,23,303,3,3,1,0,0
