"Year","Chapter","IsChp","Article","Art","FS22X1","FS22X2","FS22X3","FS22X4","FS22X5","FS22X6","FS22X7","FS22X8","FS22X9","FS22X10","FS22X11","FS22X12","FS22X13","FS22X14","FS22X15","FS22X16","FS22X17","FS22X18","FS22X19","FS22X20","FS22X21","FS22X22","FS22X23","FS22X24","FS22X25","FS22X26","FS22X27","FS22X28","FS22X29","FS22X30","FS22X31","FS22X32","FS22X33","FS22X34","FS22X35","FS22X36","FS22X37","FS22X38","FS22X39","FS22X40","FS22X41","FS22X42","FS22X43","FS22X44","FS22X45","FS22X46","FS22X47"
2024,"I",TRUE,"Кримінальні правопорушення проти основ національної безпеки України (р. І Кримінального кодексу України )",NA,6,0,2,1,3,1465,220,5,6,36,16,0,7,9,0,21,0,1,2,18,7,1,38,2,18,2,382,65,149,0,0,0,9,49,18,1,17,73,30,3,30,NA,0,NA,16,8,2
2024,"I",FALSE,"Дії, спрямовані на насильницьку зміну чи повалення конституційного ладу або на захоплення державної влади, ст. 109","109",0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,NA,0,NA,2,1,0
2024,"I",FALSE,"Посягання на територіальну цілісність і недоторканість України, ст. 110","110",0,0,0,0,0,88,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,5,0,0,0,1,0,0,0,2,0,0,0,0,NA,0,NA,0,0,0
2024,"I",FALSE,"Фінансування дій, вчинених з метою насильницької зміни чи повалення конституційного ладу або захоплення державної влади, зміни меж території або державного кордону України, ст. 110-2","110-2",0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
2024,"I",FALSE,"Державна зрада, ст. 111","111",4,0,1,1,2,269,52,5,2,10,10,0,2,8,0,5,0,0,2,3,5,0,37,2,1,2,296,65,122,0,0,0,9,49,8,0,4,61,29,2,28,NA,0,NA,6,5,1
2024,"I",FALSE,"Колабораційна діяльність, ст.111-1","111-1",1,0,0,0,1,1166,138,1,4,26,9,0,3,6,0,19,0,1,1,17,7,0,5,0,12,0,114,1,45,0,0,0,2,4,9,1,11,7,0,0,0,NA,0,NA,3,0,1
2024,"I",FALSE,"Пособництво державі-агресору, ст.111-2","111-2",0,0,0,0,0,64,14,0,2,7,4,0,0,4,0,2,0,0,0,2,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,NA,0,NA,0,0,0
2024,"I",FALSE,"Посягання на життя державного чи громадського діяча, ст. 112","112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
2024,"I",FALSE,"Диверсія, ст. 113","113",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
2024,"I",FALSE,"Шпигунство, ст. 114","114",0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
2024,"I",FALSE,"Перешкоджання законній діяльності Збройних Сил України та інших військових формувань, ст. 114-1","114-1",0,0,0,0,0,27,5,0,0,1,3,0,3,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,NA,0,NA,2,0,0
2024,"I",FALSE,"Несанкціоноване поширення інформації про направлення, переміщення зброї, озброєння та бойових припасів в Україну, рух, переміщення або розміщення Збройних Сил України чи інших утворених відповідно до законів України військових формувань, вчинене в умовах воєнного або надзвичайного стану, ст.114-2","114-2",1,0,1,0,0,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,6,1,1,2,NA,0,NA,4,2,0
2024,"II",TRUE,"Кримінальні правопорушення проти життя та здоров'я особи (р. ІІ Кримінального кодексу України )",NA,78,43,15,7,13,1380,81,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,58,0,32,0,0,0,2,4,4,0,0,229,8,23,21,NA,5,NA,81,140,0
2024,"II",FALSE,"Умисне вбивство, ст. 115","115",5,1,2,0,2,188,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,16,0,0,0,0,0,1,0,0,62,5,8,8,NA,1,NA,32,28,0
2024,"II",FALSE,"Умисне вбивство при перевищенні меж необхідної оборони або у разі перевищення заходів, необхідних для затримання злочинця, ст. 118","118",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,NA,0,NA,1,1,0
2024,"II",FALSE,"Умисне тяжке тілесне ушкодження, ст. 121","121",3,1,0,1,1,214,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,0,58,0,5,2,NA,1,NA,18,37,0
2024,"II",FALSE,"Умисне середньої тяжкості тілесне ушкодження, ст. 122","122",12,5,3,3,1,188,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,16,0,1,0,NA,0,NA,5,15,0
2024,"II",FALSE,"Домашнє насильство, ст. 126-1","126-1",0,0,0,0,0,220,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,2,2,NA,0,NA,4,17,0
2024,"III",TRUE,"Кримінальні правопорушення проти волі, честі та гідності особи (р. IІІ Кримінального кодексу України )",NA,4,1,2,0,1,120,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6,0,3,0,0,0,2,0,0,0,0,17,0,0,1,NA,1,NA,7,7,0
2024,"III",FALSE,"Незаконне позбавлення волі або викрадення людини, ст. 146","146",4,1,2,0,1,95,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,2,0,0,0,0,16,0,0,1,NA,1,NA,6,7,0
2024,"III",FALSE,"Насильницьке зникнення, ст. 146-1","146-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
2024,"III",FALSE,"Захоплення заручників, ст. 147","147",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
2024,"III",FALSE,"Торгівля людьми, ст. 149","149",0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,0,NA,1,0,0
2024,"IV",TRUE,"Кримінальні правопорушення проти статевої свободи та статевої недоторканості особи (р. IV Кримінального кодексу України )",NA,9,5,2,0,2,92,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,4,0,0,0,0,0,0,0,0,7,0,0,0,NA,1,NA,2,4,0
2024,"IV",FALSE,"Згвалтування, ст. 152","152",5,4,0,0,1,55,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,5,0,0,0,NA,1,NA,1,3,0
2024,"IV",FALSE,"Сексуальне насильство, ст. 153","153",1,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
2024,"IV",FALSE,"Розбещення неповнолітніх, ст. 156","156",1,1,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,NA,0,NA,1,1,0
2024,"V",TRUE,"Кримінальні правопорушення проти виборчих, трудових та інших особистих прав і свобод людини  і громадянина (р. V Кримінального кодексу України )",NA,4,1,3,0,0,172,9,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,17,0,12,0,0,0,5,0,0,0,0,10,0,1,0,NA,0,NA,6,7,0
2024,"V",FALSE,"Порушення рівноправності громадян залежно від їх расової, національної, регіональної належності, релігійних переконань, інвалідності та за іншими ознаками, ст. 161","161",0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
2024,"V",FALSE,"Ухилення від сплати аліментів на утримання дітей, ст. 164*","164",0,0,0,0,0,57,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,NA,0,NA,1,2,0
2024,"V",FALSE,"Перешкоджання законній професійній діяльності журналістів, ст. 171*","171",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
