"Year","Chapter","IsChp","Article","Art","FS23X1","FS23X2","FS23X3","FS23X4","FS23X5","FS23X6","FS23X7","FS23X8","FS23X9"
2023,"I",TRUE,"Кримінальні правопорушення проти основ національної безпеки України (р. І Кримінального кодексу України )",NA,240,56,5,0,0,0,0,51,17
2023,"I",FALSE,"Дії, спрямовані на насильницьку зміну чи повалення конституційного ладу або на захоплення державної влади, ст. 109","109",3,0,0,0,0,0,0,1,0
2023,"I",FALSE,"Посягання на територіальну цілісність і недоторканість України, ст. 110","110",93,11,0,0,0,0,0,2,1
2023,"I",FALSE,"Фінансування дій, вчинених з метою насильницької зміни чи повалення конституційного ладу або захоплення державної влади, зміни меж території або державного кордону України, ст. 110-2","110-2",7,4,0,0,0,0,0,2,0
2023,"I",FALSE,"Державна зрада, ст. 111","111",40,1,0,0,0,0,0,26,13
2023,"I",FALSE,"Колабораційна діяльність, ст.111-1","111-1",124,38,1,0,0,0,0,25,11
2023,"I",FALSE,"Пособництво державі-агресору, ст.111-2","111-2",64,23,5,0,0,0,0,9,0
2023,"I",FALSE,"Посягання на життя державного чи громадського діяча, ст. 112","112",0,0,0,0,0,0,0,0,0
2023,"I",FALSE,"Диверсія, ст. 113","113",0,0,0,0,0,0,0,0,0
2023,"I",FALSE,"Шпигунство, ст. 114","114",0,0,0,0,0,0,0,0,0
2023,"I",FALSE,"Перешкоджання законній діяльності Збройних Сил України та інших військових формувань, ст. 114-1","114-1",6,1,0,0,0,0,0,0,0
2023,"I",FALSE,"Несанкціоноване поширення інформації про направлення, переміщення зброї, озброєння та бойових припасів в Україну, рух, переміщення або розміщення Збройних Сил України чи інших утворених відповідно до законів України військових формувань, вчинене в умовах воєнного або надзвичайного стану, ст.114-2","114-2",0,0,0,0,0,0,0,1,1
2023,"II",TRUE,"Кримінальні правопорушення проти життя та здоров'я особи (р. ІІ Кримінального кодексу України )",NA,180,13,1,7,2,413,6,319,176
2023,"II",FALSE,"Умисне вбивство, ст. 115","115",80,9,0,1,0,155,6,90,52
2023,"II",FALSE,"Умисне вбивство при перевищенні меж необхідної оборони або у разі перевищення заходів, необхідних для затримання злочинця, ст. 118","118",0,0,0,0,0,2,0,0,0
2023,"II",FALSE,"Умисне тяжке тілесне ушкодження, ст. 121","121",30,0,0,0,2,95,0,53,35
2023,"II",FALSE,"Умисне середньої тяжкості тілесне ушкодження, ст. 122","122",28,0,0,2,0,36,0,40,21
2023,"II",FALSE,"Домашнє насильство, ст. 126-1","126-1",0,0,0,0,0,31,0,35,22
2023,"III",TRUE,"Кримінальні правопорушення проти волі, честі та гідності особи (р. IІІ Кримінального кодексу України )",NA,131,60,2,6,0,3,0,11,5
2023,"III",FALSE,"Незаконне позбавлення волі або викрадення людини, ст. 146","146",98,47,2,6,0,3,0,10,4
