"Year","Chapter","IsChp","Article","Art","FS27X1","FS27X2","FS27X3","FS27X4","FS27X5","FS27X6","FS27X7","FS27X8"
2023,"I",TRUE,"Кримінальні правопорушення проти основ національної безпеки України (р. І Кримінального кодексу України )",NA,0,0,0,0,0,0,0,0
2023,"I",FALSE,"Дії, спрямовані на насильницьку зміну чи повалення конституційного ладу або на захоплення державної влади, ст. 109","109",0,0,0,0,0,0,0,0
2023,"I",FALSE,"Посягання на територіальну цілісність і недоторканість України, ст. 110","110",0,0,0,0,0,0,0,0
2023,"I",FALSE,"Фінансування дій, вчинених з метою насильницької зміни чи повалення конституційного ладу або захоплення державної влади, зміни меж території або державного кордону України, ст. 110-2","110-2",0,0,0,0,0,0,0,0
2023,"I",FALSE,"Державна зрада, ст. 111","111",0,0,0,0,0,0,0,0
2023,"I",FALSE,"Колабораційна діяльність, ст.111-1","111-1",0,0,0,0,0,0,0,0
2023,"I",FALSE,"Пособництво державі-агресору, ст.111-2","111-2",0,0,0,0,0,0,0,0
2023,"I",FALSE,"Посягання на життя державного чи громадського діяча, ст. 112","112",0,0,0,0,0,0,0,0
2023,"I",FALSE,"Диверсія, ст. 113","113",0,0,0,0,0,0,0,0
2023,"I",FALSE,"Шпигунство, ст. 114","114",0,0,0,0,0,0,0,0
2023,"I",FALSE,"Перешкоджання законній діяльності Збройних Сил України та інших військових формувань, ст. 114-1","114-1",0,0,0,0,0,0,0,0
2023,"I",FALSE,"Несанкціоноване поширення інформації про направлення, переміщення зброї, озброєння та бойових припасів в Україну, рух, переміщення або розміщення Збройних Сил України чи інших утворених відповідно до законів України військових формувань, вчинене в умовах воєнного або надзвичайного стану, ст.114-2","114-2",0,0,0,0,0,0,0,0
2023,"II",TRUE,"Кримінальні правопорушення проти життя та здоров'я особи (р. ІІ Кримінального кодексу України )",NA,0,0,0,0,0,0,0,0
2023,"II",FALSE,"Умисне вбивство, ст. 115","115",0,0,0,0,0,0,0,0
2023,"II",FALSE,"Умисне вбивство при перевищенні меж необхідної оборони або у разі перевищення заходів, необхідних для затримання злочинця, ст. 118","118",0,0,0,0,0,0,0,0
2023,"II",FALSE,"Умисне тяжке тілесне ушкодження, ст. 121","121",0,0,0,0,0,0,0,0
2023,"II",FALSE,"Умисне середньої тяжкості тілесне ушкодження, ст. 122","122",0,0,0,0,0,0,0,0
2023,"II",FALSE,"Домашнє насильство, ст. 126-1","126-1",0,0,0,0,0,0,0,0
2023,"III",TRUE,"Кримінальні правопорушення проти волі, честі та гідності особи (р. IІІ Кримінального кодексу України )",NA,0,0,0,0,0,0,0,0
2023,"III",FALSE,"Незаконне позбавлення волі або викрадення людини, ст. 146","146",0,0,0,0,0,0,0,0
2023,"III",FALSE,"Насильницьке зникнення, ст. 146-1","146-1",0,0,0,0,0,0,0,0
2023,"III",FALSE,"Захоплення заручників, ст. 147","147",0,0,0,0,0,0,0,0
2023,"III",FALSE,"Торгівля людьми, ст. 149","149",0,0,0,0,0,0,0,0
2023,"IV",TRUE,"Кримінальні правопорушення проти статевої свободи та статевої недоторканості особи (р. IV Кримінального кодексу України )",NA,0,0,0,0,0,0,0,0
2023,"IV",FALSE,"Згвалтування, ст. 152","152",0,0,0,0,0,0,0,0
2023,"IV",FALSE,"Сексуальне насильство, ст. 153","153",0,0,0,0,0,0,0,0
2023,"IV",FALSE,"Розбещення неповнолітніх, ст. 156","156",0,0,0,0,0,0,0,0
2023,"V",TRUE,"Кримінальні правопорушення проти виборчих, трудових та інших особистих прав і свобод людини  і громадянина (р. V Кримінального кодексу України )",NA,0,0,0,0,0,0,0,0
